,Age,Borough,Interests,Biography
0,1,BRONX,"['Social services', 'Technology and Innovation', 'Education']","['I imagine helping and fostering senior citizens with their daily needs.', 'I would like to conduct social and psycho-social assessments', 'I was a guest panelist for a computer science and technology webinar.', 'I participated as a guest speaker in a webinar about machine learning.', 'I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.', 'I helped as a learning and development coordinator for AI4Good summer lab.']"
1,1,BROOKLYN,"['Technology and Innovation', 'Social services']","['I hope to salvage old computers and repurpose them into something new and usable.', 'Teaching basic internet applications to people and helping them with smart technology.', 'I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'I helped with preparing food for the homeless']"
2,2,BRONX,"['Outreach and Advertising', 'Recreation and Leisure', 'Advocacy and Justice']","['I really want to interact with the public.', 'Worked as an outreach program coordinator for Edmonton Horticultural Society.', 'I think play and sports are important for children’s development.', 'I want to host outdoor events in my community to promote active living.', 'I take social issues such as gender discrimination very seriously and want to create an equitable society.', 'I want to make a difference in the world.']"
3,2,QUEENS,['Environment and Climate change'],"['I participated in several nature cleaning activities.', 'Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.']"
4,1,BROOKLYN,"['Education', 'Outreach and Advertising']","['At a summer bootcamp, I taught French to primary and secondary school students.', 'At a summer bootcamp, I taught French to primary and secondary school students.', 'Contributing in small startups and equipping people with the right resources.', 'I really want to interact with the public.']"
5,2,QUEENS,"['Environment and Climate change', 'Food and Agriculture', 'Recreation and Leisure']","['Environmental degradation needs to be stopped.', 'I want to help conduct a protest outside of the city centre to raise awareness for climate change.', 'I worked as a farmer and mentor in Plainfield Heritage Farm.', 'I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.', 'I am really passionate about sports and want to teach them to other people.', 'I worked as a guitarist in a local restaurant for six months.']"
6,1,MANHATTAN,['Advocacy and Justice'],"['I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'I imagine standing up for people/animals less spoken for, through petitions and marches.']"
7,1,MANHATTAN,"['Social services', 'Environment and Climate change', 'Advocacy and Justice']","['I really care about helping other people.', 'I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.', 'I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.', 'I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.', 'I volunteered at my local youth justice society assisting young people who have been in conflict with the law.', 'I want to organize events aimed to raise awareness to socio-economic inequalities within our society ']"
8,1,MANHATTAN,"['Advocacy and Justice', 'Recreation and Leisure']","['I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'I worked as a guitarist in a local restaurant for six months.', 'Last summer, I coached a U16 girls soccer team.']"
9,1,MANHATTAN,"['Outreach and Advertising', 'Education', 'Child services']","['I like to engage in community service and help people advertise themselves to the public.', 'Worked as an outreach program coordinator for Edmonton Horticultural Society.', 'I helped as a learning and development coordinator for AI4Good summer lab.', 'I would like to teach children subjects such as math and science.', 'For two weeks during winter break, I volunteered full-time at a day care.', 'I provided support for the child and family during the child abuse investigation process.']"
